01;;Geisteswissenschaften allgemein;01
02;;Evangelische Theologie, -Religionslehre;01
03;;Katholische Theologie, -Religionslehre;01
04;;Philosophie;01
05;;Geschichte;01
06;;Informations- und Bibliothekswissenschaften;01
07;;Allgemeine und vergleichende Literatur- und Sprachwissenschaft;01
08;;Altphilologie (klassische Philologie), Neugriechisch;01
09;;Germanistik (Deutsch, germanische Sprachen ohne Anglistik);01
10;;Anglistik, Amerikanistik;01
11;;Romanistik;01
12;;Slawistik, Baltistik, Finno-Ugristik;01
13;;Sonstige Sprach- und Kulturwissenschaften;01
14;;Kulturwissenschaften i.e.S.;01
18;;Islamische Studien/Islamische Theologie;01
19;;Medienwissenschaft;01
23;;Sozial- und Verhaltenswissenschaften, Sport allgemein;13
24;;Regionalwissenschaften;13
25;;Politikwissenschaft;13
26;;Sozialwissenschaften/Soziologie;13
27;;Sozialwesen;13
28;;Rechtswissenschaften;11
29;;Verwaltungswissenschaften;11
30;;Wirtschaftswissenschaften;12
31;;Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt;12
32;;Psychologie;13
33;;Erziehungswissenschaften;13
34;;Kommunikationswissenschaft/Publizistik;13
35;;Sport, Sportwissenschaft;13
36;;Mathematik, Naturwissenschaften allgemein;04
37;;Mathematik;04
39;;Physik, Astronomie;04
40;;Chemie;04
41;;Pharmazie;04
42;;Biologie;04
43;;Geowissenschaften (ohne Geographie);04
44;;Geographie;04
48;;Gesundheitswissenschaften;05
49;;Humanmedizin (ohne Zahnmedizin);05
50;;Zahnmedizin;05
51;;Veterinärmedizin;07
57;;Landschaftsgestaltung/Naturschutz;07
58;;Agrarwissenschaften, Lebensmittel- und Getränketechnologie;07
59;;Forstwissenschaft, Holzwirtschaft;07
60;;Ernährungs- und Haushaltswissenschaften;07
61;;Ingenieurwesen allgemein;08
62;;Bergbau, Hüttenwesen;08
63;;Maschinenbau/Verfahrenstechnik;08
64;;Elektrotechnik und Informationstechnik;08
65;;Verkehrstechnik, Nautik;08
66;;Architektur, Innenarchitektur;08
67;;Raumplanung;08
68;;Bauingenieurwesen;08
69;;Vermessungswesen;08
70;;Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt;08
71;;Informatik;08
72;;Materialwissenschaft und Werkstofftechnik;08
74;;Kunst, Kunstwissenschaft allgemein;09
75;;Bildende Kunst;09
76;;Gestaltung;09
77;;Darstellende Kunst, Film und Fernsehen, Theaterwissenschaft;09
78;;Musik;09
79;;Kunstwissenschaft/-pädagogik;09
80;;Musikwissenschaft/-pädagogik;09
83;;Außerhalb der Studienbereichsgliederung;90
